Date\Country,Critical
US,10011
Spain,7371
Italy,3605
Germany,4895
France,7066
Iran,3918
United Kingdom,1559
Turkey,1552
Belgium,1278
Switzerland,386
Netherlands,1424
Canada,518
Brazil,296
Portugal,241
Austria,261
Russia,8
South Korea,55
Israel,164
Sweden,719
India,0
Ireland,165
Norway,70
Australia,74
Chile,360
Poland,160
Denmark,120
Czechia,98
Japan,109
Romania,183
Peru,124
Ecuador,139
Pakistan,45
Malaysia,69
Philippines,1
Indonesia,0
Mexico,89
Saudi Arabia,41
Luxembourg,30
United Arab Emirates,1
Serbia,127
Panama,107
Finland,82
Qatar,37
Thailand,61
Dominican Republic,147
Colombia,85
Ukraine,33
Greece,79
South Africa,7
Singapore,29
Argentina,96
Egypt,0
Algeria,46
Iceland,11
Belarus,55
Morocco,1
Croatia,34
Moldova,80
New Zealand,5
Estonia,9
Iraq,0
Hungary,17
Slovenia,36
Lithuania,21
Kuwait,26
Hong Kong,15
Armenia,30
Azerbaijan,27
Bahrain,3
Bosnia and Herzegovina,4
Cameroon,0
Kazakhstan,21
Diamond Princess,10
Slovakia,5
North Macedonia,15
Tunisia,78
Bulgaria,33
Uzbekistan,8
Latvia,3
Lebanon,28
Andorra,17
Cyprus,13
Costa Rica,13
Afghanistan,0
Cuba,15
Oman,3
Uruguay,13
Ivory Coast,0
Burkina Faso,0
Bangladesh,1
Albania,6
Niger,0
Honduras,10
Taiwan,0
Ghana,2
Jordan,5
Reunion,4
Channel Islands,0
Malta,4
San Marino,14
Mauritius,3
Kyrgyzstan,5
Nigeria,2
Bolivia,3
Palestine,0
Montenegro,7
Vietnam,8
Senegal,1
Georgia,6
Congo (Kinshasa),0
Guinea,0
Sri Lanka,5
Isle of Man,12
Mayotte,4
Kenya,2
Faeroe Islands,0
Venezuela,6
Martinique,19
Guadeloupe,13
Djibouti,0
Brunei,3
Paraguay,1
Guatemala,3
Gibraltar,1
Cambodia,1
El Salvador,3
Rwanda,0
Trinidad and Tobago,0
Madagascar,1
Monaco,4
French Guiana,1
Aruba,0
Liechtenstein,0
Mali,0
Togo,0
Barbados,4
Ethiopia,2
Jamaica,0
Congo (Brazzaville),0
Uganda,0
French Polynesia,0
Sint Maarten,2
Bermuda,2
Cayman Islands,0
Macao,1
Gabon,0
The Bahamas,1
Zambia,1
Guyana,4
Guinea-Bissau,0
Eritrea,0
Saint Martin,6
Liberia,0
Haiti,0
Myanmar,0
Benin,0
Tanzania,0
Libya,0
Angola,0
Antigua and Barbuda,1
Syria,0
Maldives,0
Equatorial Guinea,0
New Caledonia,0
Mozambique,0
Dominica,0
Fiji,0
Laos,0
Mongolia,0
Namibia,0
Sudan,0
Curacao,0
Saint Lucia,0
Botswana,0
Somalia,0
Grenada,2
Saint Vincent and the Grenadines,0
Eswatini,0
Zimbabwe,0
Chad,0
Greenland,0
Saint Kitts and Nevis,0
Seychelles,0
Suriname,0
MS Zaandam,0
Belize,1
Malawi,1
Nepal,0
Montserrat,1
Turks and Caicos,0
Central African Republic,0
Vatican City,0
Cabo Verde,0
Mauritania,0
Nicaragua,0
Sierra Leone,0
St. Barth,0
Bhutan,0
Falkland Islands,0
The Gambia,0
Sao Tome and Principe,0
Western Sahara,0
Anguilla,0
British Virgin Islands,0
Burundi,0
South Sudan,0
Caribbean Netherlands,0
Papua New Guinea,0
East Timor,0
Saint Pierre Miquelon,0
Yemen,0
China,144
World,49123
Europe,31856
