Country,Minimum_cases
None,None
US,120
Italy,64
China,644
Spain,86
Germany,80
France,102
Iran,62
United Kingdom,88
Switzerland,58
Netherlands,40
South Korea,30
Belgium,52
Austria,80
Turkey,194
Canada,80
Portugal,790
Norway,58
Brazil,54
Australia,108
Israel,256
Sweden,36
Czechia,696
Ireland,786
Denmark,26
Malaysia,118
Chile,748
Luxembourg,672
Ecuador,790
Japan,148
Poland,750
Pakistan,778
Romania,796
Russia,496
Thailand,722
Saudi Arabia,768
South Africa,556
Finland,794
Indonesia,688
Philippines,554
Greece,744
India,120
Iceland,650
Singapore,560
Panama,346
Dominican Republic,314
Mexico,368
Cruise Ship,708
Diamond Princess,2
Argentina,268
Slovenia,482
Peru,418
Serbia,304
Croatia,384
Estonia,370
Colombia,380
Qatar,528
Egypt,404
Iraq,318
Bahrain,394
United Arab Emirates,250
Algeria,266
New Zealand,156
Lebanon,320
Armenia,250
Morocco,172
Lithuania,210
Ukraine,98
Hungary,188
Bulgaria,220
Andorra,166
Latvia,198
Costa Rica,178
Slovakia,206
Taiwan,216
Tunisia,116
Uruguay,164
Bosnia and Herzegovina,168
Jordan,156
North Macedonia,150
Kuwait,192
Moldova,126
Kazakhstan,74
San Marino,188
Burkina Faso,116
Albania,124
Azerbaijan,2
Cyprus,126
Vietnam,68
Oman,16
Malta,112
Ghana,54
Senegal,88
Brunei,106
Venezuela,86
Cuba,50
Sri Lanka,46
Afghanistan,76
Uzbekistan,52
Mauritius,44
Ivory Coast,74
Cambodia,92
Honduras,26
Belarus,82
Kosovo,2
Cameroon,68
Georgia,14
Nigeria,46
Montenegro,48
Trinidad and Tobago,58
Bolivia,30
Congo (Kinshasa),6
Rwanda,38
Kyrgyzstan,44
Liechtenstein,38
Paraguay,12
Bangladesh,12
Monaco,24
Kenya,26
Martinique,34
Guatemala,22
Uganda,10
Jamaica,14
Zambia,2
Barbados,18
Madagascar,18
Togo,22
Guyana,6
El Salvador,6
Mali,2
Ethiopia,2
Maldives,12
Djibouti,4
Tanzania,8
Equatorial Guinea,6
Mongolia,2
Dominica,4
Niger,4
The Bahamas,4
Eswatini,2
Suriname,8
Guinea,4
Seychelles,4
Mozambique,2
Namibia,4
Laos,2
Haiti,8
Zimbabwe,2
Antigua and Barbuda,2
Gabon,2
Eritrea,2
Benin,2
Holy See,2
Angola,2
Nepal,2
Cabo Verde,2
Mauritania,2
Sudan,2
Syria,2
Fiji,2
Congo (Brazzaville),2
Nicaragua,2
Chad,2
Central African Republic,2
Liberia,2
The Gambia,2
Saint Lucia,2
Bhutan,2
East Timor,2
Saint Kitts and Nevis,2
Guinea-Bissau,2
Belize,2
